,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.11,0.1,0.23,-0.02,0.11,0.06,0.17
beta_mkt,1.06,1.09,1.05,1.11,1.11,1.05,1.01
beta_smb,0.14,0.21,0.16,0.19,0.25,0.1,0.1
beta_hml,0.14,0.27,0.15,0.19,0.24,0.16,0.09
p-value(alpha),0.33,0.33,0.03,0.86,0.26,0.59,0.14
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.03,0.0,0.02,0.0,0.0,0.15,0.19
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.03
Adj. R^2,0.94,0.95,0.94,0.95,0.96,0.93,0.92
