,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.66%,1.70%,11.46%,11.46%,35.37%,55.04%,90.71%,90.71%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,9.31%,38.24%,38.24%
High transformation,3.32%,0.60%,9.10%,9.10%,30.20%,51.71%,117.65%,117.65%
High preparation,4.12%,3.28%,11.44%,11.44%,35.70%,62.97%,46.36%,46.36%
High advocacy,2.26%,-0.25%,10.22%,10.22%,35.65%,47.83%,38.11%,38.11%
Low advocacy,4.03%,2.92%,10.96%,10.96%,33.26%,59.27%,95.23%,95.23%
