,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.05,0.09,0.25,-0.01,0.09,0.14,0.27
beta_mkt,1.08,1.13,1.06,1.15,1.13,1.06,1.0
beta_smb,0.02,0.13,0.02,0.11,0.16,-0.03,-0.04
beta_hml,0.13,0.26,0.18,0.2,0.24,0.14,0.06
p-value(alpha),0.7,0.41,0.02,0.92,0.36,0.22,0.02
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.73,0.1,0.82,0.1,0.02,0.74,0.55
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.19
Adj. R^2,0.95,0.96,0.95,0.96,0.96,0.94,0.93
