,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.55,-10.83%,-28.33%,,
High advocacy,0.55,-11.13%,-29.21%,0.16,0.180
High preparation,0.44,-10.85%,-31.01%,-0.02,0.820
High transformation,0.58,-10.73%,-25.28%,0.16,0.140
High esg_sp,0.50,-10.89%,-27.14%,0.06,0.580
High esg_refinitive,0.43,-11.52%,-35.42%,-0.02,0.850
Sector equal split transformation,0.66,-10.44%,-24.57%,0.23,0.030
