,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,7.17%,12.50%,12.96%,12.96%,22.86%,71.97%,117.27%,117.27%
High advocacy,9.07%,11.95%,9.23%,9.23%,14.90%,61.41%,116.01%,116.01%
High preparation,4.18%,14.08%,11.12%,11.12%,14.34%,55.26%,81.81%,81.81%
High transformation,7.55%,10.53%,9.86%,9.86%,14.49%,67.90%,124.86%,124.86%
High esg_sp,8.84%,9.86%,6.01%,6.01%,12.98%,47.45%,98.24%,98.24%
High esg_refinitive,8.11%,8.66%,4.83%,4.83%,14.95%,43.23%,81.11%,81.11%
Sector equal split transformation,6.88%,12.15%,17.09%,17.09%,22.51%,75.36%,142.35%,142.35%
