,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-0.82%,-3.87%,6.78%,6.78%,7.93%,22.95%,88.74%,97.76%
High communities,1.87%,-1.09%,15.13%,15.13%,47.01%,56.58%,123.81%,190.87%
High employees,5.56%,5.33%,19.43%,19.43%,47.75%,78.00%,166.73%,260.78%
High suppliers,6.08%,4.75%,12.78%,12.78%,40.29%,64.83%,140.23%,235.61%
High customers,3.91%,1.55%,16.94%,16.94%,57.58%,76.81%,195.96%,297.17%
Low communities,5.32%,5.29%,20.25%,20.25%,46.69%,80.49%,181.09%,296.78%
