,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.12,0.29,0.27,0.14,0.33,0.2,-0.06
beta_mkt,0.99,1.06,1.06,0.97,1.04,1.0,0.14
beta_smb,-0.05,0.19,0.15,0.02,0.2,-0.06,-0.0
beta_hml,0.23,0.23,0.25,0.19,0.2,0.18,0.04
p-value(alpha),0.61,0.25,0.27,0.52,0.18,0.42,0.14
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.74,0.18,0.23,0.85,0.17,0.64,0.93
p-value(beta_hml),0.0,0.03,0.01,0.01,0.03,0.03,0.01
Adj. R^2,0.75,0.72,0.74,0.75,0.73,0.72,0.64
