,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,0.61,-10.99%,-28.14%,0.36,0.180
Market,0.36,-9.16%,-29.34%,,
High esg_refinitive,0.65,-11.51%,-28.41%,0.42,0.140
Low esg_refinitive,0.55,-11.52%,-25.65%,0.27,0.320
High advocacy,0.60,-10.69%,-27.47%,0.33,0.210
High preparation,0.60,-11.22%,-27.99%,0.35,0.220
High transformation,0.57,-11.30%,-31.36%,0.29,0.280
