,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-7.61%,-2.54%,9.86%,9.86%,14.18%,62.66%,175.15%,195.14%
High transformation,-6.88%,-2.02%,13.09%,13.09%,18.82%,80.74%,241.59%,268.77%
High preparation,-7.32%,-1.87%,8.98%,8.98%,8.35%,53.48%,135.46%,149.63%
High advocacy,-7.68%,-1.80%,8.34%,8.34%,13.72%,52.45%,189.11%,219.55%
Sector equal split transformation,-8.12%,-3.68%,11.13%,11.13%,12.69%,64.40%,211.04%,234.80%
