,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.80%,1.81%,11.25%,11.25%,34.38%,55.26%,66.29%,66.29%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,9.31%,20.08%,20.08%
High transformation,3.41%,0.46%,8.74%,8.74%,30.36%,53.59%,63.81%,63.81%
High preparation,4.09%,3.44%,11.32%,11.32%,34.62%,63.35%,71.58%,71.58%
High advocacy,2.33%,-0.04%,10.25%,10.25%,34.64%,47.22%,68.55%,68.55%
Low advocacy,4.20%,2.90%,10.45%,10.45%,31.59%,59.18%,67.36%,67.36%
