,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.66%,1.70%,11.41%,11.41%,35.01%,54.62%,120.93%,208.43%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,9.31%,59.76%,67.40%
High transformation,3.65%,1.69%,11.15%,11.15%,33.91%,52.40%,117.94%,170.69%
High preparation,3.65%,1.69%,11.15%,11.15%,33.91%,52.40%,61.10%,124.22%
High advocacy,3.65%,1.69%,11.15%,11.15%,33.91%,52.40%,61.10%,124.22%
Low advocacy,3.65%,1.69%,11.15%,11.15%,33.91%,52.40%,61.10%,124.22%
Sector equal split transformation,4.71%,2.49%,9.46%,9.46%,36.10%,55.91%,108.42%,161.11%
