,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.76%,1.73%,11.54%,11.54%,35.41%,55.06%,73.56%,73.56%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,9.31%,20.70%,20.70%
High transformation,3.44%,0.67%,9.07%,9.07%,30.38%,52.27%,71.99%,71.99%
High preparation,4.24%,3.48%,11.54%,11.54%,35.60%,63.35%,83.07%,83.07%
High advocacy,2.54%,-0.18%,10.03%,10.03%,35.82%,47.74%,65.67%,65.67%
Low advocacy,4.04%,3.07%,11.14%,11.14%,33.26%,58.52%,78.41%,78.41%
