,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-0.55%,-4.70%,-0.88%,-0.88%,-3.86%,25.11%,112.72%,112.84%
High transformation,0.61%,-5.08%,-3.41%,-3.41%,-0.84%,29.25%,100.19%,90.53%
High preparation,-0.62%,-7.12%,-5.42%,-5.42%,-12.93%,6.61%,65.52%,65.62%
High advocacy,-2.09%,-4.79%,-3.52%,-3.52%,-8.10%,23.67%,97.15%,84.34%
