,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,-3.43%,1.98%,2.23%,2.23%,16.59%,9.01%,42.29%,42.29%
Market,0.17%,12.54%,-15.93%,-15.93%,-4.69%,-5.15%,20.54%,20.54%
High transformation,-4.20%,0.22%,2.88%,2.88%,15.47%,10.17%,39.95%,39.95%
High preparation,-3.89%,3.17%,2.26%,2.26%,18.11%,11.79%,47.30%,47.30%
High advocacy,-2.75%,3.23%,4.74%,4.74%,13.91%,16.21%,39.83%,39.83%
