,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,0.64,-11.31%,-27.56%,0.41,0.120
Market,0.36,-9.16%,-29.34%,,
High transformation,0.65,-10.77%,-31.87%,0.37,0.170
High preparation,0.50,-12.44%,-32.61%,0.32,0.290
High advocacy,0.47,-10.85%,-26.41%,0.32,0.290
Low advocacy,0.66,-12.14%,-28.50%,0.45,0.120
Sector equal split transformation,0.60,-11.21%,-24.74%,0.34,0.190
