,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.54,-9.84%,-27.60%,,
High transformation,0.50,-9.39%,-29.37%,0.39,0.020
High preparation,0.43,-10.45%,-31.28%,0.33,0.100
High advocacy,0.54,-9.34%,-26.71%,0.45,0.020
