,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,-3.49%,1.95%,2.19%,2.19%,16.56%,8.42%,38.33%,38.33%
Market,0.17%,12.54%,-15.93%,-15.93%,-4.69%,-5.15%,20.54%,20.54%
High esg_sp,-4.10%,3.28%,2.56%,2.56%,23.93%,17.74%,46.93%,46.93%
High transformation,-4.14%,0.26%,2.81%,2.81%,12.61%,6.73%,31.02%,31.02%
High preparation,-3.60%,3.26%,2.69%,2.69%,17.09%,8.15%,34.84%,34.84%
