,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,0.47,-11.10%,-28.37%,0.21,0.440
Market,0.32,-9.21%,-29.34%,,
High esg_refinitive,0.56,-11.27%,-27.28%,0.36,0.230
High transformation,0.42,-11.29%,-30.46%,0.14,0.630
High preparation,0.50,-11.56%,-29.37%,0.26,0.390
