,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.02,0.3,0.29,0.26,0.45,0.11,-0.09
beta_mkt,1.04,1.17,1.09,1.07,1.16,0.98,0.14
beta_smb,0.09,0.31,0.14,0.19,0.38,0.08,0.04
beta_hml,0.23,0.57,0.46,0.26,0.56,0.2,0.03
p-value(alpha),0.93,0.24,0.23,0.26,0.07,0.7,0.05
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.58,0.05,0.35,0.19,0.01,0.64,0.15
p-value(beta_hml),0.08,0.0,0.0,0.01,0.0,0.03,0.14
Adj. R^2,0.68,0.77,0.77,0.76,0.79,0.64,0.58
