,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-0.08%,-3.87%,1.86%,1.86%,2.06%,32.17%,115.03%,115.88%
High transformation,0.68%,-4.48%,0.18%,0.18%,2.26%,28.20%,101.72%,102.37%
High preparation,-0.66%,-5.76%,0.09%,0.09%,-2.23%,20.93%,79.84%,84.71%
High advocacy,-0.85%,-3.74%,1.60%,1.60%,4.76%,37.19%,118.86%,114.66%
