,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.2,0.31,0.28,0.24,0.33,0.36,0.25
beta_mkt,1.07,1.12,1.06,1.1,1.13,1.06,1.0
beta_smb,0.0,0.17,0.07,0.16,0.12,-0.01,-0.02
beta_hml,0.21,0.32,0.24,0.2,0.28,0.19,0.17
p-value(alpha),0.15,0.03,0.07,0.09,0.01,0.01,0.09
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.95,0.06,0.34,0.05,0.13,0.87,0.84
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.89,0.91,0.89,0.9,0.92,0.9,0.88
