,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.66%,1.70%,11.41%,11.41%,35.01%,54.62%,120.93%,147.70%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,9.31%,59.76%,50.28%
High transformation,4.21%,0.93%,8.01%,8.01%,25.50%,47.55%,99.02%,99.02%
High preparation,3.94%,4.16%,15.08%,15.08%,43.53%,76.48%,87.12%,99.39%
High advocacy,2.42%,0.03%,13.92%,13.92%,34.14%,46.66%,60.54%,80.86%
Low advocacy,5.51%,1.92%,11.52%,11.52%,41.34%,77.37%,144.16%,173.41%
Sector equal split transformation,4.71%,2.49%,9.46%,9.46%,36.10%,55.91%,108.42%,126.58%
