,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.72%,-7.69%,-0.08%,-0.08%,-0.93%,33.28%,117.20%,101.57%
High transformation,-3.17%,-8.54%,-2.87%,-2.87%,0.03%,32.24%,97.57%,72.27%
High preparation,-3.50%,-8.41%,-2.46%,-2.46%,-8.40%,18.74%,66.63%,56.75%
High advocacy,-4.26%,-6.28%,-3.03%,-3.03%,-5.43%,28.40%,113.68%,88.63%
