,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,1.30,-4.95%,-7.17%,0.72,0.040
Market,0.35,-8.85%,-29.34%,,
High transformation,1.34,-4.78%,-6.49%,0.88,0.000
High preparation,1.33,-5.18%,-6.26%,0.89,0.010
High advocacy,1.17,-5.97%,-8.74%,0.86,0.020
Low advocacy,1.33,-5.01%,-5.64%,0.89,0.010
