,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.1,0.13,0.24,0.03,0.14,0.16,0.26
beta_mkt,1.07,1.12,1.06,1.13,1.11,1.06,0.99
beta_smb,0.02,0.14,0.05,0.15,0.15,-0.04,-0.09
beta_hml,0.12,0.26,0.16,0.2,0.26,0.13,0.05
p-value(alpha),0.39,0.18,0.02,0.81,0.14,0.14,0.03
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.8,0.08,0.49,0.04,0.03,0.6,0.22
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.25
Adj. R^2,0.95,0.96,0.96,0.96,0.96,0.95,0.93
