,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.76%,1.73%,11.57%,11.57%,35.60%,89.16%,89.16%,89.16%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,19.85%,19.85%,19.85%
High transformation,4.10%,0.76%,8.98%,8.98%,25.73%,83.70%,83.70%,83.70%
High preparation,4.23%,4.13%,13.64%,13.64%,38.77%,108.24%,108.24%,108.24%
High advocacy,2.36%,0.11%,13.15%,13.15%,34.07%,70.68%,70.68%,70.68%
Low advocacy,5.01%,2.21%,11.21%,11.21%,37.74%,104.26%,104.26%,104.26%
