,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.70%,1.66%,11.58%,11.58%,35.98%,38.81%,38.81%,38.81%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,-3.40%,-3.40%,-3.40%
High Advocacy,1.64%,-1.00%,8.33%,8.33%,34.66%,33.78%,33.78%,33.78%
High Upskilling,3.16%,4.08%,19.37%,19.37%,49.74%,55.96%,55.96%,55.96%
High Measurement,6.02%,1.43%,11.23%,11.23%,31.61%,36.09%,36.09%,36.09%
High Adaptation-change,4.67%,1.20%,10.95%,10.95%,27.75%,30.12%,30.12%,30.12%
High Innovation,3.85%,1.19%,14.96%,14.96%,32.71%,38.24%,38.24%,38.24%
Low Advocacy,4.82%,1.89%,13.36%,13.36%,32.19%,35.76%,35.76%,35.76%
