,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,4.07%,2.86%,17.47%,17.47%,51.88%,74.95%,97.51%,97.51%
Market,-0.82%,-3.87%,6.78%,6.78%,7.93%,22.95%,37.03%,37.03%
High Advocacy,1.99%,0.17%,13.94%,13.94%,49.71%,49.48%,66.98%,66.98%
High Upskilling,3.53%,5.28%,25.25%,25.25%,66.73%,93.45%,120.23%,120.23%
High Measurement,6.82%,3.02%,17.06%,17.06%,45.06%,73.67%,98.90%,98.90%
High Adaptation-change,4.97%,2.27%,16.20%,16.20%,43.27%,71.50%,96.10%,96.10%
High Innovation,4.22%,2.32%,20.80%,20.80%,47.88%,76.63%,102.21%,102.21%
Low Advocacy,5.18%,3.08%,19.14%,19.14%,48.43%,73.18%,100.05%,100.05%
