,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.39,0.2,0.12,0.41,0.31,0.39,-0.04
beta_mkt,1.25,1.17,1.16,1.21,1.17,1.24,0.17
beta_smb,-0.28,0.01,-0.01,-0.21,-0.04,-0.33,-0.04
beta_hml,-0.24,-0.12,-0.11,-0.13,-0.06,-0.3,-0.05
p-value(alpha),0.11,0.45,0.61,0.14,0.26,0.1,0.3
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.04,0.92,0.97,0.2,0.8,0.02,0.09
p-value(beta_hml),0.0,0.18,0.18,0.11,0.43,0.0,0.0
Adj. R^2,0.81,0.74,0.77,0.76,0.74,0.82,0.77
