,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.68,-10.41%,-22.64%,,
High transformation,0.65,-10.20%,-25.94%,0.41,0.120
High preparation,0.60,-11.44%,-30.81%,0.37,0.190
High advocacy,0.62,-10.20%,-22.51%,0.37,0.150
