,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-2.52%,15.93%,-11.42%,-11.42%,20.90%,28.31%,92.33%,92.33%
High transformation,-3.47%,15.11%,-13.01%,-13.01%,20.58%,31.86%,104.24%,104.24%
High preparation,-2.18%,14.64%,-15.33%,-15.33%,12.52%,13.81%,63.42%,63.42%
High advocacy,-2.66%,15.73%,-13.10%,-13.10%,17.46%,31.76%,98.05%,98.05%
