,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,-3.82%,1.58%,0.87%,0.87%,14.76%,5.98%,77.25%,77.25%
Market,0.17%,12.54%,-15.93%,-15.93%,-4.69%,-5.15%,31.03%,31.03%
High esg_refinitive,-5.10%,2.69%,2.55%,2.55%,21.02%,12.11%,85.80%,85.80%
High transformation,-3.98%,0.25%,0.12%,0.12%,12.01%,-0.12%,60.36%,60.36%
High preparation,-4.41%,3.35%,2.33%,2.33%,23.43%,21.30%,103.34%,103.34%
