,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.35,-12.02%,-34.58%,,
High transformation,0.30,-11.47%,-37.05%,-0.17,0.420
High preparation,0.25,-12.70%,-38.20%,-0.23,0.270
High advocacy,0.32,-11.90%,-33.75%,-0.13,0.550
