,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.49,-11.13%,-28.24%,,
High transformation,0.44,-11.21%,-30.99%,0.30,0.340
High esg_refinitive,0.50,-11.68%,-28.45%,0.41,0.200
High esg_sp,0.49,-10.83%,-26.82%,0.38,0.200
