,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,1.30,-4.95%,-7.17%,0.72,0.040
Market,0.35,-8.85%,-29.34%,,
High transformation,1.32,-4.64%,-6.10%,0.87,0.000
High preparation,1.28,-5.37%,-6.47%,0.93,0.020
High advocacy,1.11,-6.19%,-9.68%,0.85,0.020
Low advocacy,1.37,-4.93%,-7.87%,0.96,0.010
