,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.56,-10.54%,-28.25%,,
High transformation,0.59,-11.18%,-26.17%,0.16,0.080
High preparation,0.49,-10.90%,-31.37%,0.04,0.680
High advocacy,0.53,-10.64%,-30.43%,0.11,0.190
