,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.35,-12.02%,-34.58%,,
High transformation,0.30,-10.80%,-34.41%,0.13,0.330
High preparation,0.29,-11.55%,-33.46%,0.12,0.410
High advocacy,0.28,-12.51%,-35.45%,0.12,0.410
