,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.66%,1.72%,11.39%,11.39%,34.99%,54.60%,120.94%,280.72%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,9.31%,59.76%,91.66%
High transformation,4.21%,0.93%,8.24%,8.24%,25.77%,47.87%,99.45%,190.24%
High preparation,3.94%,4.16%,15.04%,15.04%,43.49%,76.42%,87.07%,180.09%
High advocacy,2.42%,0.03%,13.84%,13.84%,34.05%,46.55%,59.37%,119.67%
Low advocacy,5.51%,1.92%,11.68%,11.68%,41.55%,77.63%,140.72%,278.06%
