,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,1.00,-5.19%,-7.16%,0.69,0.070
Market,0.00,-8.94%,-29.34%,,
High Advocacy,0.88,-6.52%,-9.23%,0.74,0.070
High Upskilling,1.29,-4.97%,-5.72%,1.08,0.000
High Measurement,0.85,-5.46%,-8.92%,0.59,0.160
High Adaptation-change,0.85,-4.72%,-7.85%,0.63,0.090
High Innovation,0.96,-5.84%,-7.70%,0.69,0.080
Low Advocacy,0.92,-5.43%,-7.01%,0.65,0.110
