,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,0.34,-11.28%,-27.39%,0.22,0.490
Market,0.25,-9.36%,-29.34%,,
High esg_sp,0.38,-10.61%,-25.56%,0.30,0.330
High transformation,0.30,-11.76%,-26.98%,0.15,0.630
High preparation,0.31,-11.86%,-30.33%,0.19,0.580
