,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,0.06%,2.13%,12.96%,12.96%,33.80%,77.81%,168.31%,193.98%
High transformation,0.86%,2.91%,14.33%,14.33%,36.72%,79.98%,185.21%,208.42%
High preparation,1.26%,4.02%,12.82%,12.82%,29.36%,72.62%,147.05%,168.80%
High advocacy,-1.07%,0.59%,8.71%,8.71%,31.04%,68.50%,154.09%,172.21%
Sector equal split transformation,-0.98%,-0.77%,12.91%,12.91%,35.31%,75.34%,147.16%,160.70%
