,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,0.28,-11.28%,-29.28%,0.13,0.670
Market,0.25,-9.36%,-29.34%,,
High esg_sp,0.36,-10.99%,-26.43%,0.28,0.380
High transformation,0.32,-10.55%,-27.51%,0.17,0.580
High preparation,0.22,-11.88%,-31.73%,0.05,0.880
