,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-3.78%,1.72%,2.55%,2.55%,16.90%,8.75%,78.85%,78.85%
High transformation,-3.62%,0.14%,4.55%,4.55%,14.10%,9.00%,78.39%,78.39%
High esg_refinitive,-3.83%,3.64%,3.11%,3.11%,17.15%,13.06%,74.94%,74.94%
High esg_sp,-4.05%,2.81%,5.01%,5.01%,32.62%,32.31%,110.31%,110.31%
