,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.66,-11.23%,-26.95%,,
Low transformation,0.67,-10.99%,-25.37%,0.40,0.130
Low preparation,0.61,-11.42%,-27.31%,0.33,0.200
Low advocacy,0.58,-11.61%,-29.42%,0.31,0.270
