,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-0.08%,-3.87%,1.86%,1.86%,2.06%,6.43%,6.43%,6.43%
High transformation,1.19%,-3.57%,0.57%,0.57%,4.89%,7.84%,7.84%,7.84%
High preparation,-0.76%,-6.15%,-3.11%,-3.11%,-8.63%,-5.20%,-5.20%,-5.20%
High advocacy,-1.41%,-4.11%,-0.66%,-0.66%,-2.95%,4.24%,4.24%,4.24%
