,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,0.06%,2.13%,12.96%,12.96%,33.80%,77.81%,168.31%,193.98%
Low transformation,-0.32%,2.50%,12.46%,12.46%,35.87%,69.45%,156.58%,172.85%
Low preparation,0.40%,2.41%,12.78%,12.78%,33.77%,78.53%,162.95%,187.44%
Low advocacy,0.84%,3.62%,13.43%,13.43%,31.74%,72.98%,152.56%,175.05%
