,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,2.93%,1.71%,12.41%,12.41%,35.04%,53.63%,110.99%,137.29%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,9.31%,59.76%,50.28%
High esg_refinitive,3.95%,3.47%,17.47%,17.47%,49.15%,75.82%,140.94%,169.63%
Low esg_refinitive,2.29%,1.72%,13.26%,13.26%,29.95%,31.70%,84.82%,108.90%
High advocacy,2.33%,0.59%,11.04%,11.04%,44.26%,52.87%,113.00%,131.30%
High preparation,3.25%,2.82%,11.28%,11.28%,31.83%,56.69%,121.51%,149.32%
High transformation,2.47%,0.47%,15.01%,15.01%,34.91%,52.15%,96.21%,123.50%
