,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.24,0.34,0.41,0.21,0.42,0.34,0.33
beta_mkt,1.06,1.12,1.05,1.08,1.13,1.04,1.01
beta_smb,-0.03,0.22,0.13,0.1,0.21,-0.04,0.0
beta_hml,0.16,0.27,0.15,0.19,0.25,0.14,0.13
p-value(alpha),0.12,0.03,0.02,0.13,0.01,0.02,0.03
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.69,0.02,0.16,0.22,0.03,0.63,0.98
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.88,0.89,0.86,0.91,0.89,0.87,0.87
