,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,-3.70%,1.69%,2.40%,2.40%,13.98%,4.33%,27.93%,27.93%
Market,0.17%,12.54%,-15.93%,-15.93%,-4.69%,-5.15%,20.54%,20.54%
High esg_sp,-4.59%,2.88%,3.65%,3.65%,23.22%,17.43%,43.17%,43.17%
High transformation,-3.63%,-0.53%,1.28%,1.28%,12.52%,7.22%,34.76%,34.76%
High preparation,-3.87%,2.80%,0.33%,0.33%,11.27%,1.51%,19.40%,19.40%
