,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-5.15%,11.02%,-8.71%,-8.71%,29.83%,45.79%,133.69%,133.69%
High transformation,-5.98%,10.73%,-11.52%,-11.52%,35.19%,65.39%,166.14%,166.14%
High esg_sp,-4.40%,11.84%,-7.90%,-7.90%,27.71%,42.46%,134.23%,134.23%
Sector equal split transformation,-4.76%,10.72%,-8.66%,-8.66%,31.44%,61.47%,159.67%,159.67%
