,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,0.28,-11.08%,-28.18%,0.30,0.380
Market,0.13,-9.56%,-29.34%,,
High esg_sp,0.42,-10.11%,-25.17%,0.44,0.220
High transformation,0.24,-10.84%,-31.46%,0.23,0.510
High preparation,0.34,-11.94%,-29.85%,0.36,0.340
Low advocacy,0.45,-11.92%,-29.09%,0.54,0.170
Sector equal split transformation,0.26,-10.38%,-25.72%,0.25,0.470
