,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Market,0.54,-10.84%,-28.25%,,
High transformation,0.58,-10.49%,-25.59%,0.24,0.020
Sector equal split transformation,0.64,-11.03%,-25.54%,0.29,0.010
