,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.39,0.31,0.38,0.4,0.35,0.57,-0.02
beta_mkt,1.21,1.2,1.2,1.25,1.24,1.24,0.17
beta_smb,0.05,0.24,0.04,0.13,0.09,0.04,0.03
beta_hml,0.28,0.27,0.25,0.21,0.26,0.27,0.05
p-value(alpha),0.07,0.22,0.12,0.09,0.17,0.01,0.62
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.71,0.11,0.77,0.39,0.51,0.78,0.29
p-value(beta_hml),0.0,0.0,0.0,0.02,0.01,0.0,0.0
Adj. R^2,0.8,0.78,0.79,0.8,0.78,0.82,0.76
