,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.26,0.4,0.47,0.28,0.45,0.38,0.38
beta_mkt,1.04,1.13,1.05,1.08,1.14,1.03,1.0
beta_smb,-0.08,0.13,0.01,0.02,0.19,-0.11,-0.05
beta_hml,0.15,0.25,0.13,0.17,0.26,0.13,0.1
p-value(alpha),0.1,0.01,0.0,0.05,0.0,0.02,0.01
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.39,0.19,0.88,0.8,0.06,0.25,0.57
p-value(beta_hml),0.0,0.0,0.03,0.0,0.0,0.01,0.03
Adj. R^2,0.88,0.9,0.88,0.91,0.91,0.88,0.88
