,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-7.61%,-2.54%,9.86%,9.86%,14.18%,62.66%,175.15%,195.14%
High transformation,-7.39%,-2.84%,10.76%,10.76%,15.79%,76.87%,212.47%,238.45%
High preparation,-7.32%,-1.86%,10.29%,10.29%,9.04%,53.24%,160.76%,178.26%
High advocacy,-7.93%,-2.51%,6.58%,6.58%,9.14%,48.35%,167.08%,192.98%
