,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.14,0.08,0.1,0.04,0.07,0.19,0.27
beta_mkt,1.1,1.13,1.07,1.15,1.14,1.07,1.01
beta_smb,0.11,0.14,0.05,0.16,0.11,0.06,0.04
beta_hml,0.17,0.26,0.18,0.23,0.24,0.15,0.06
p-value(alpha),0.18,0.42,0.32,0.69,0.48,0.08,0.02
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.06,0.04,0.43,0.02,0.08,0.39,0.55
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.15
Adj. R^2,0.96,0.96,0.96,0.95,0.96,0.95,0.93
