,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,-4.53%,1.16%,-1.22%,-1.22%,13.22%,4.69%,19.82%,19.82%
Market,0.17%,12.54%,-15.93%,-15.93%,-4.69%,-5.15%,4.70%,4.70%
High esg_sp,-4.64%,3.20%,1.75%,1.75%,28.06%,22.71%,37.26%,37.26%
High transformation,-4.62%,-2.42%,-2.21%,-2.21%,10.24%,-0.30%,15.31%,15.31%
High preparation,-4.89%,3.51%,2.67%,2.67%,23.50%,14.92%,28.19%,28.19%
Low advocacy,-5.57%,0.16%,4.32%,4.32%,33.28%,24.30%,42.64%,42.64%
Sector equal split transformation,-5.64%,-3.32%,-0.81%,-0.81%,11.17%,5.93%,17.17%,17.17%
