,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-7.61%,-2.54%,9.86%,9.86%,14.18%,62.66%,175.15%,195.14%
Low transformation,-7.82%,-2.18%,9.55%,9.55%,17.16%,56.51%,194.54%,218.51%
Low preparation,-7.83%,-2.75%,8.41%,8.41%,11.27%,57.66%,190.91%,215.08%
Low advocacy,-7.06%,-1.32%,12.22%,12.22%,16.42%,64.32%,184.81%,200.20%
