,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-0.08%,-3.87%,1.86%,1.86%,2.06%,32.17%,115.03%,115.88%
High transformation,0.94%,-4.85%,1.46%,1.46%,3.18%,28.44%,97.12%,99.12%
High preparation,-0.84%,-6.38%,-3.19%,-3.19%,-5.19%,15.27%,67.24%,69.73%
High advocacy,-1.49%,-4.41%,-2.68%,-2.68%,-3.58%,34.88%,99.18%,92.77%
