,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Market,-1.98%,-8.70%,-0.47%,-0.47%,-5.43%,22.19%,85.38%,74.12%
High transformation,-1.67%,-10.07%,-3.18%,-3.18%,-2.74%,18.56%,77.55%,70.61%
High preparation,-2.31%,-10.06%,-2.88%,-2.88%,-11.69%,9.29%,52.16%,45.08%
High advocacy,-2.49%,-9.07%,-7.23%,-7.23%,-12.63%,16.12%,68.75%,57.28%
