,1m,3m,YTD,1yr,3yr,5yr,10yr,Since launch
Sample,3.76%,1.73%,11.57%,11.57%,35.60%,89.16%,89.16%,89.16%
Market,-1.19%,-4.99%,1.45%,1.45%,-3.58%,19.85%,19.85%,19.85%
High transformation,4.05%,0.72%,9.34%,9.34%,25.58%,80.22%,80.22%,80.22%
High preparation,3.98%,4.22%,15.85%,15.85%,45.69%,122.56%,122.56%,122.56%
High advocacy,2.71%,0.03%,15.23%,15.23%,36.74%,77.84%,77.84%,77.84%
Low advocacy,5.55%,1.87%,11.46%,11.46%,41.49%,112.86%,112.86%,112.86%
