,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.26,0.33,0.34,0.31,0.35,0.44,0.35
beta_mkt,1.06,1.13,1.06,1.07,1.13,1.06,1.0
beta_smb,-0.07,0.14,-0.01,0.05,0.12,-0.07,-0.09
beta_hml,0.17,0.29,0.17,0.16,0.25,0.16,0.12
p-value(alpha),0.09,0.04,0.03,0.04,0.01,0.0,0.02
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.44,0.16,0.91,0.56,0.2,0.44,0.27
p-value(beta_hml),0.0,0.0,0.0,0.01,0.0,0.0,0.01
Adj. R^2,0.89,0.9,0.89,0.9,0.92,0.89,0.89
