,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,0.49,-11.16%,-28.14%,0.39,0.200
Market,0.30,-9.27%,-29.34%,,
High esg_refinitive,0.50,-11.49%,-29.94%,0.42,0.200
High transformation,0.41,-11.59%,-32.30%,0.26,0.400
High preparation,0.54,-11.59%,-27.34%,0.49,0.140
