,Sharpe,VaR 1%,Max Drawdown,Alpha,p-value(alpha)
Sample,0.53,-11.29%,-27.47%,0.39,0.170
Market,0.24,-9.36%,-29.34%,,
High transformation,0.48,-11.45%,-30.25%,0.33,0.250
High preparation,0.55,-11.13%,-30.85%,0.39,0.200
High advocacy,0.53,-11.59%,-24.08%,0.43,0.150
Low advocacy,0.55,-11.43%,-30.54%,0.41,0.180
